date,location,value
1994-02,Jurong Birdpark,na
1994-02,Night Safari,na
1994-02,River Safari,na
1994-02,Singapore Zoological Gardens,108.2
1994-02,Chinese/japanese Gardens,18.2
1994-03,Asian Civilisations Museum,na
1994-03,National Museum Of Singapore,26.4
1994-03,Singapore Art Museum,na
1994-03,Singapore Philatelic Museum,na
1994-03,The Peranakan Museum,na
1994-03,Science Centre Singapore,49.4
1994-03,Jurong Birdpark,na
1994-03,Night Safari,na
1994-03,River Safari,na
1994-03,Singapore Zoological Gardens,124.6
1994-03,Chinese/japanese Gardens,15.6
1994-04,Asian Civilisations Museum,na
1994-04,National Museum Of Singapore,20.6
1994-04,Singapore Art Museum,na
1994-04,Singapore Philatelic Museum,na
1994-04,The Peranakan Museum,na
1994-04,Science Centre Singapore,31
1994-04,Jurong Birdpark,na
1994-04,Night Safari,na
1994-04,River Safari,na
1994-04,Singapore Zoological Gardens,117.6
1994-04,Chinese/japanese Gardens,11
1994-05,Asian Civilisations Museum,na
1994-05,National Museum Of Singapore,16.2
1994-05,Singapore Art Museum,na
1994-05,Singapore Philatelic Museum,na
1994-05,The Peranakan Museum,na
1994-05,Science Centre Singapore,48.5
1994-05,Jurong Birdpark,na
1994-05,Night Safari,na
1994-05,River Safari,na
1994-05,Singapore Zoological Gardens,159.5
1994-05,Chinese/japanese Gardens,12
1994-06,Asian Civilisations Museum,na
1994-06,National Museum Of Singapore,14.2
1994-06,Singapore Art Museum,na
1994-06,Singapore Philatelic Museum,na
1994-06,The Peranakan Museum,na
1994-06,Science Centre Singapore,39.9
1994-06,Jurong Birdpark,na
1994-06,Night Safari,na
1994-06,River Safari,na
1994-06,Singapore Zoological Gardens,130.5
1994-06,Chinese/japanese Gardens,14.9
1994-07,Asian Civilisations Museum,na
1994-07,National Museum Of Singapore,25.6
1994-07,Singapore Art Museum,na
1994-07,Singapore Philatelic Museum,na
1994-07,The Peranakan Museum,na
1994-07,Science Centre Singapore,40.9
1994-07,Jurong Birdpark,na
1994-07,Night Safari,na
1994-07,River Safari,na
1994-07,Singapore Zoological Gardens,113.2
1994-07,Chinese/japanese Gardens,12.2
1994-08,Asian Civilisations Museum,na
1994-08,National Museum Of Singapore,24.9
1994-08,Singapore Art Museum,na
1994-08,Singapore Philatelic Museum,na
1994-08,The Peranakan Museum,na
1994-08,Science Centre Singapore,50.6
1994-08,Jurong Birdpark,na
1994-08,Night Safari,na
1994-08,River Safari,na
1994-08,Singapore Zoological Gardens,123.2
1994-08,Chinese/japanese Gardens,15
1994-09,Asian Civilisations Museum,na
1994-09,National Museum Of Singapore,27.2
1994-09,Singapore Art Museum,na
1994-09,Singapore Philatelic Museum,na
1994-09,The Peranakan Museum,na
